Date,NVDA
2015-11-13 00:00:00,29.79999924
2015-11-16 00:00:00,30.39999962
2015-11-17 00:00:00,30.39999962
2015-11-18 00:00:00,31.03000069
2015-11-19 00:00:00,31.12000084
2015-11-20 00:00:00,31.38999939
2015-11-23 00:00:00,30.92000008
2015-11-24 00:00:00,31.17000008
2015-11-25 00:00:00,31.12999916
2015-11-27 00:00:00,31.38999939
2015-11-30 00:00:00,31.71999931
2015-12-01 00:00:00,32.75
2015-12-02 00:00:00,32.5
2015-12-03 00:00:00,32.43000031
2015-12-04 00:00:00,33.75
2015-12-07 00:00:00,33.11000061
2015-12-08 00:00:00,33.56000137
2015-12-09 00:00:00,32.70999908
2015-12-10 00:00:00,32.97999954
2015-12-11 00:00:00,32.49000168
2015-12-14 00:00:00,32.56999969
2015-12-15 00:00:00,32.97000122
2015-12-16 00:00:00,33.16999817
2015-12-17 00:00:00,32.66999817
2015-12-18 00:00:00,32.13999939
2015-12-21 00:00:00,32.90000153
2015-12-22 00:00:00,32.93000031
2015-12-23 00:00:00,33.06000137
2015-12-24 00:00:00,33.16999817
2015-12-28 00:00:00,33.13999939
2015-12-29 00:00:00,33.68000031
2015-12-30 00:00:00,33.38999939
2015-12-31 00:00:00,32.95999908
2016-01-04 00:00:00,32.36999893
2016-01-05 00:00:00,32.88999939
2016-01-06 00:00:00,31.53000069
2016-01-07 00:00:00,30.28000069
2016-01-08 00:00:00,29.62999916
2016-01-11 00:00:00,29.68000031
2016-01-12 00:00:00,30.18000031
2016-01-13 00:00:00,29.26000023
2016-01-14 00:00:00,28.67000008
2016-01-15 00:00:00,27.11000061
2016-01-19 00:00:00,27.32999992
2016-01-20 00:00:00,27.47999954
2016-01-21 00:00:00,27.79999924
2016-01-22 00:00:00,28.45000076
2016-01-25 00:00:00,28.42000008
2016-01-26 00:00:00,28.70000076
2016-01-27 00:00:00,28.36000061
2016-01-28 00:00:00,28.04999924
2016-01-29 00:00:00,29.29000092
2016-02-01 00:00:00,29.29999924
2016-02-02 00:00:00,28.05999947
2016-02-03 00:00:00,28.20000076
2016-02-04 00:00:00,28.20999908
2016-02-05 00:00:00,26.43000031
2016-02-08 00:00:00,25.21999931
2016-02-09 00:00:00,25.48999977
2016-02-10 00:00:00,25.43000031
2016-02-11 00:00:00,25.29999924
2016-02-12 00:00:00,25.72999954
2016-02-16 00:00:00,26.98999977
2016-02-17 00:00:00,27.65999985
2016-02-18 00:00:00,30.04000092
2016-02-19 00:00:00,30.44000053
2016-02-22 00:00:00,31.52000046
2016-02-23 00:00:00,31.60000038
2016-02-24 00:00:00,31.81999969
2016-02-25 00:00:00,31.88999939
2016-02-26 00:00:00,31.68000031
2016-02-29 00:00:00,31.36000061
2016-03-01 00:00:00,32.75
2016-03-02 00:00:00,32.93999863
2016-03-03 00:00:00,32.65000153
2016-03-04 00:00:00,32.54999924
2016-03-07 00:00:00,32.34000015
2016-03-08 00:00:00,31.75
2016-03-09 00:00:00,31.72999954
2016-03-10 00:00:00,31.68000031
2016-03-11 00:00:00,32.22000122
2016-03-14 00:00:00,32.29999924
2016-03-15 00:00:00,32.13999939
2016-03-16 00:00:00,33.09999847
2016-03-17 00:00:00,32.81999969
2016-03-18 00:00:00,33.81000137
2016-03-21 00:00:00,33.90999985
2016-03-22 00:00:00,33.84999847
2016-03-23 00:00:00,34.43000031
2016-03-24 00:00:00,34.47999954
2016-03-28 00:00:00,34.83000183
2016-03-29 00:00:00,35.38999939
2016-03-30 00:00:00,35.75999832
2016-03-31 00:00:00,35.63000107
2016-04-01 00:00:00,36.15000153
2016-04-04 00:00:00,35.79999924
2016-04-05 00:00:00,35.75
2016-04-06 00:00:00,35.79999924
2016-04-07 00:00:00,35.43000031
2016-04-08 00:00:00,35.65999985
2016-04-11 00:00:00,35.88000107
2016-04-12 00:00:00,35.84000015
2016-04-13 00:00:00,36.74000168
2016-04-14 00:00:00,36.84000015
2016-04-15 00:00:00,37.13000107
2016-04-18 00:00:00,36.97000122
2016-04-19 00:00:00,36.31000137
2016-04-20 00:00:00,36.45000076
2016-04-21 00:00:00,36.40999985
2016-04-22 00:00:00,36.27000046
